성구분,카테고리명,상품명,CategoryID,ProductID,pink_cossim,blue_cossim,파일명
girl,girl-Doll,매직어드벤쳐 올리비아 인형-소(33cm)/매직어드벤쳐인형/올리비아인형,C10100020002,L000001551952,0.3348259576437672,-0.3152287967459303,C10100020002-L000001551952.png
girl,girl-Doll,"바나나스 3팩 (노랑,오렌지,분홍)",C10100020002,0847194007169,0.28302218316393085,-0.4507430885017486,C10100020002-0847194007169.png
girl,girl-RolePlay,달님이 냉장고놀이,C10100020001,8809182326500,0.6508403339452026,0.21928207682457915,C10100020001-8809182326500.png
girl,girl-Doll,[d]뽀로로 봉제인형3기-포비,C10100020002,L000000505561,0.4667508255333075,-0.2382874604875919,C10100020002-L000000505561.png
boy,boy-Car/Train,미판매상품 안내페이지,C10100030004,8809375612137,-0.01403385007807294,-0.5881295030933371,C10100030004-8809375612137.png
boy,boy-Car/Train,돌핀 콘덴서 비행기,C10100030004,8809258924500,0.5735476241824348,-0.46393846356115165,C10100030004-8809258924500.png
girl,girl-Doll,미판매상품 안내페이지,C10100020002,L000000546359,0.39672247339806493,0.10735879954509492,C10100020002-L000000546359.png
girl,girl-Doll,코코밍 엔젤지니밍,C10100020002,8809482990876,-0.34108359791108256,-0.41547064453368027,C10100020002-8809482990876.png
girl,girl-DIY,미판매상품 안내페이지,C10100020004,8809182326753,0.26916775013739963,-0.4947793629751923,C10100020004-8809182326753.png
girl,girl-Doll,[뚜시베베] 인형 나나,C10100020002,L000002686851,0.7017375978379198,-0.3873246464660818,C10100020002-L000002686851.png
girl,girl-Doll,미판매상품 안내페이지,C10100020002,L000001521995,0.4472405180708459,-0.33317115318842194,C10100020002-L000001521995.png
boy,boy-RolePlay,[Clearance] 블레이징틴스 샤벨타이거 더블,C10100030001,8809365533374,0.10687958582920272,-0.5991175824728703,C10100030001-8809365533374.png
boy,boy-Action,[슐라이히] 암컷 개코원숭이와 새끼,C10100030002,L000000467839,0.5125187121562147,-0.4200982690855782,C10100030002-L000000467839.png
